,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
3,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,3,3
4,0,0,0,0,0,1,1,2,2,3,3,4,5,5,6,6,7,8
5,0,0,0,1,1,2,3,4,5,6,7,7,8,9,10,11,12,13
6,0,0,1,2,3,4,5,6,7,9,10,11,12,13,15,16,17,18
7,0,0,1,3,4,6,7,9,10,12,13,15,16,18,19,21,22,24
8,0,1,2,4,6,7,9,11,13,15,17,18,20,22,24,26,28,30
9,0,1,3,5,7,9,11,13,16,18,20,22,24,27,29,31,33,36
10,0,2,4,6,9,11,13,16,18,21,24,26,29,31,34,37,39,42
11,0,2,5,7,10,13,16,18,21,24,27,30,33,36,39,42,45,46
12,1,3,6,9,12,15,18,21,24,27,31,34,37,41,44,47,51,54
13,1,3,7,10,13,17,20,24,27,31,34,38,42,45,49,53,56,60
14,1,4,7,11,15,18,22,26,30,34,38,42,46,50,54,58,63,67
15,2,5,8,12,16,20,24,29,33,37,42,46,51,55,60,64,69,73
16,2,5,9,13,18,22,27,31,36,41,45,50,55,60,65,70,74,79
17,2,6,10,15,19,24,29,34,39,44,49,54,60,65,70,75,81,86
18,2,6,11,16,21,26,31,37,42,47,53,58,64,70,75,81,87,92
19,3,7,12,17,22,28,33,39,45,51,56,63,69,74,81,87,93,99
20,3,8,13,18,24,30,36,42,46,54,60,67,73,79,86,92,99,105
